Title,Description,URL
I'm Quitting Heroing,"Studios: EMT Squared
Genres: Action, Adventure, Comedy, Fantasy",https://youtu.be/hJt8cctjXr0?si=lvBlV8wqwX4ezCHY
ID: INVADED,"Studios: NAZ
Genres: Mystery, Sci-Fi, Suspense",https://youtu.be/sfpCjy7Q8_M?si=vsuulztgxOV6GkK-
Interspecies Reviewers ,"Studios: Passione
Genres: Comedy, Fantasy, Erotica",https://youtu.be/sFLsF5U4ag8?si=tRISHyGSqWnv0h7p
Is It Wrong to Try to Pick Up Girls in a Dungeon?,"Studios: J.C.Staff
Genres: Action, Adventure, Fantasy",https://youtu.be/0H_RCGEcjhs?si=EZiez_s1SoXhJyQU
JoJo's Bizarre Adventure,"Studios: David Production
Genres: Action, Adventure, Supernatural",https://youtu.be/1ZKAQzGYYSo?si=ECYCKIS3zxOyTfKe
Jormungand,"Studios: White Fox
Genres: Action, Adventure",https://youtu.be/uDhEtUl7U-A?si=85noKJwpWiF1VU62
Juni Taisen: Zodiac War,"Studios: Graphinica
Genres: Action, Suspense",https://youtu.be/obVdi9AFUQQ?si=PaKYqnOI3PMJwu_8
K ,"Studios: GoHands
Genres: Action, Mystery",https://youtu.be/09kI9tt1BJc?si=Eh5IFvd1DzjGYCKG
Keijo!!!!!!!!,"Studios: Xebec
Genres: Sports, Ecchi",https://youtu.be/SSo3gVnQaKo?si=y03Oj-yCluUvQ0rn
Kemono Jihen,"Studios: Ajia-do
Genres: Action, Mystery, Supernatural",https://youtu.be/6JyDgWe_UrQ?si=UlwAZ20T_VoVABNK
Kill la Kill,"Studios: Trigger
Genres: Action, Comedy, Fantasy, Ecchi",https://youtu.be/9_5LhZ7pQpM?si=ttEr6eIntUWEfrlQ
Konohana Kitan,"Studios: Lerche
Genres: Fantasy, Girls Love, Slice of Life",https://youtu.be/bjzRUQ4gb7o?si=PtFfNAFgMUr4ImlB
Link Click,"Studios: LAN Studio
Genres: Drama, Mystery, Suspense",https://youtu.be/ZtEBMYcZvjY?si=ZEgFiWKoS2HlybrO
Lord of Mysteries,"Studios: B.CMAY PICTURES
Genres: Action, Fantasy, Mystery, Suspense",https://youtu.be/8z5GCgW4yrM?si=g3e1DZq611fHUABq
Love After World Domination,"Studios: Project No.9
Genres: Action, Comedy, Fantasy, Romance",https://youtu.be/yNkMTniqjsU?si=TJ1f-tG1FggylJlC
Love Flops ,"Studios: Passione
Genres: Comedy, Romance, Sci-Fi, Ecchi",https://youtu.be/KulhWw9mQg4?si=2t15JuhipyXOGWcz
Made in Abyss,"Studios: Kinema Citrus
Genres: Adventure, Drama, Fantasy, Mystery, Sci-Fi",https://youtu.be/e91G8m9uM_0?si=qnbYoQ_Vo4RhzIoH
Magic Maker: How to Make Magic in Another World,"Studios: Studio Deen
Genre: Fantasy",https://youtu.be/Ife3XVrTLnI?si=J_ghKxSFHKqO-N31
Megalobox ,"Studios: TMS Entertainment
Genres: Sci-Fi, Sports",https://youtu.be/ByMrJy5p7q8?si=ZZVYuex3CgfK09R2
Mieruko-chan,"Studios: Passione
Genres: Comedy, Horror",https://youtu.be/stn29mdlKqA?si=HpwiFZ6rz7EjdCIa
Miss Kobayashi's Dragon Maid,"Studios: Kyoto Animation
Genres: Slice of Life, Supernatural",https://youtu.be/Ku5fgOHy1JY?si=MAkQRahQq_mGaMnc
Mob Psycho 100,"Studios: Bones
Genres: Action, Comedy, Supernatural",https://youtu.be/Bw-5Lka7gPE?si=jOogF8e-BXph_5d4
"More than a Married Couple, but Not Lovers.","Studios: studio MOTHER
Genre: Romance",https://youtu.be/cQP18wYFtvY?si=HtjGtrYVNR76EtE0
Mushoku Tensei: Jobless Reincarnation,"Studios: Studio Bind
Genres: Adventure, Drama, Fantasy, Ecchi",https://youtu.be/pEoCT-Kv5CI?si=WofkBEjxh9ZC0Pr3
My Deer Friend Nokotan,"Studios: Wit Studio
Genre: Comedy",https://youtu.be/pxEV1A5mTYM?si=eYYOTEedB5SjrLHT
My Dress-Up Darling,"Studios: CloverWorks
Genre: Romance",https://youtu.be/oG4eu4HMtbo?si=wkGmJrcC-p3idFF8
